fragment_id,surface_class,tyre_type,extent_x,extent_y,extent_z,roughness,mesh_path
frag_0015,tread,passenger,0.14627,0.20751,0.03939,0.3665,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0015.obj
frag_0016,tread,otr_mining,0.19830,0.22478,0.05469,0.7823,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0016.obj
frag_0017,sidewall,truck_hgv,0.17666,0.09604,0.01003,0.1314,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0017.obj
frag_0018,tread,passenger,0.20177,0.25953,0.04956,0.4409,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0018.obj
frag_0019,sidewall,otr_mining,0.17902,0.05877,0.01524,0.2167,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0019.obj
frag_0020,tread,truck_hgv,0.13220,0.20445,0.04488,0.7804,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0020.obj
frag_0021,sidewall,otr_mining,0.20372,0.06950,0.01226,0.1335,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0021.obj
frag_0022,sidewall,motorcycle,0.12061,0.08608,0.01597,0.3312,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0022.obj
frag_0023,tread,motorcycle,0.15233,0.15590,0.04148,0.7155,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0023.obj
frag_0024,sidewall,passenger,0.20777,0.08593,0.01056,0.3908,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0024.obj
frag_0025,tread,truck_hgv,0.19823,0.11815,0.04553,0.4067,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0025.obj
frag_0026,sidewall,motorcycle,0.15528,0.07450,0.01342,0.1818,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0026.obj
frag_0027,sidewall,truck_hgv,0.13955,0.08324,0.00928,0.3645,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0027.obj
frag_0028,tread,otr_mining,0.13861,0.12406,0.04184,0.6623,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0028.obj
frag_0029,tread,motorcycle,0.20861,0.18551,0.04142,0.6394,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0029.obj
frag_0030,tread,otr_mining,0.16051,0.18008,0.04929,0.5596,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0030.obj
frag_0031,sidewall,motorcycle,0.19910,0.06507,0.01272,0.2142,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0031.obj
frag_0032,tread,passenger,0.13890,0.23988,0.05182,0.4644,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0032.obj
frag_0033,sidewall,truck_hgv,0.20517,0.06527,0.00986,0.3817,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0033.obj
frag_0034,tread,otr_mining,0.16306,0.18935,0.05996,0.5138,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0034.obj
frag_0035,tread,truck_hgv,0.17193,0.15334,0.05210,0.5146,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0035.obj
frag_0036,tread,truck_hgv,0.18177,0.17501,0.04318,0.6186,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0036.obj
frag_0037,tread,otr_mining,0.20451,0.16204,0.05919,0.4618,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0037.obj
frag_0038,sidewall,truck_hgv,0.14790,0.06263,0.00919,0.1445,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0038.obj
frag_0039,tread,otr_mining,0.13278,0.12867,0.03554,0.3967,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0039.obj
frag_0040,tread,truck_hgv,0.19564,0.20238,0.05382,0.7059,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0040.obj
frag_0041,sidewall,passenger,0.12164,0.08711,0.01131,0.2745,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0041.obj
frag_0042,sidewall,otr_mining,0.21277,0.07941,0.00922,0.3077,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0042.obj
frag_0043,sidewall,passenger,0.10360,0.07962,0.01195,0.2139,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0043.obj
frag_0044,sidewall,truck_hgv,0.12054,0.06605,0.00866,0.2979,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0044.obj
frag_0045,tread,truck_hgv,0.20929,0.19210,0.05754,0.6218,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0045.obj
frag_0046,sidewall,truck_hgv,0.23511,0.08102,0.01118,0.1650,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0046.obj
frag_0047,tread,otr_mining,0.12296,0.22298,0.04162,0.4477,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0047.obj
frag_0048,tread,passenger,0.22690,0.16748,0.04030,0.5146,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0048.obj
frag_0049,sidewall,passenger,0.21703,0.07429,0.01059,0.3966,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0049.obj
frag_0050,sidewall,truck_hgv,0.20200,0.05982,0.01674,0.3792,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0050.obj
frag_0051,tread,passenger,0.24046,0.15792,0.03750,0.5644,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0051.obj
frag_0052,sidewall,passenger,0.21119,0.07483,0.00983,0.1960,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0052.obj
frag_0053,sidewall,otr_mining,0.20799,0.07306,0.01446,0.3915,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0053.obj
frag_0054,sidewall,motorcycle,0.16036,0.08987,0.01413,0.1424,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0054.obj
frag_0055,sidewall,truck_hgv,0.17334,0.09074,0.01406,0.0568,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0055.obj
frag_0056,tread,truck_hgv,0.20571,0.19793,0.03815,0.6199,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0056.obj
frag_0057,sidewall,motorcycle,0.20223,0.06616,0.01431,0.3282,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0057.obj
frag_0058,tread,otr_mining,0.16181,0.14976,0.04808,0.4628,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0058.obj
frag_0059,sidewall,otr_mining,0.16432,0.06095,0.01188,0.2745,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0059.obj
frag_0060,sidewall,passenger,0.15344,0.06886,0.01452,0.3570,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0060.obj
frag_0061,tread,otr_mining,0.17270,0.14152,0.03014,0.5885,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0061.obj
frag_0062,sidewall,truck_hgv,0.17766,0.07916,0.00938,0.2776,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0062.obj
frag_0063,tread,motorcycle,0.18583,0.17429,0.04555,0.6599,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0063.obj
frag_0064,sidewall,truck_hgv,0.21462,0.07451,0.01683,0.1383,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0064.obj
frag_0065,tread,otr_mining,0.11296,0.12594,0.03335,0.5279,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0065.obj
frag_0066,sidewall,passenger,0.14728,0.05887,0.01232,0.2385,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0066.obj
frag_0067,tread,passenger,0.13347,0.13786,0.04341,0.4868,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0067.obj
frag_0068,tread,otr_mining,0.12520,0.24386,0.05586,0.5673,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0068.obj
frag_0069,sidewall,passenger,0.20361,0.05173,0.01116,0.2373,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0069.obj
frag_0070,sidewall,motorcycle,0.16262,0.08129,0.00984,0.3384,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0070.obj
frag_0071,sidewall,motorcycle,0.16053,0.06748,0.01093,0.3368,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0071.obj
frag_0072,tread,otr_mining,0.14410,0.17199,0.03436,0.3968,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0072.obj
frag_0073,sidewall,otr_mining,0.21420,0.05362,0.01806,0.2972,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0073.obj
frag_0074,sidewall,passenger,0.11328,0.08431,0.01127,0.2738,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0074.obj
frag_0075,tread,otr_mining,0.11619,0.16551,0.03644,0.5377,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0075.obj
frag_0076,tread,motorcycle,0.19950,0.21105,0.05561,0.5518,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0076.obj
frag_0077,tread,otr_mining,0.12554,0.19699,0.05235,0.6105,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0077.obj
frag_0078,sidewall,otr_mining,0.11004,0.08815,0.01037,0.4147,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0078.obj
frag_0079,tread,passenger,0.12939,0.17141,0.03645,0.5650,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0079.obj
frag_0080,tread,truck_hgv,0.17292,0.16446,0.04723,0.5459,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0080.obj
frag_0081,sidewall,passenger,0.18821,0.05988,0.00933,0.3414,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0081.obj
frag_0082,tread,otr_mining,0.15909,0.13169,0.03765,0.2154,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0082.obj
frag_0083,tread,passenger,0.21459,0.14815,0.04560,0.5593,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0083.obj
frag_0084,tread,motorcycle,0.11869,0.18037,0.04786,0.5628,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0084.obj
frag_0085,tread,otr_mining,0.20111,0.15426,0.05237,0.5189,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0085.obj
frag_0086,sidewall,passenger,0.16266,0.05412,0.01558,0.2341,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0086.obj
frag_0087,sidewall,truck_hgv,0.11747,0.08929,0.01464,0.3100,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0087.obj
frag_0088,sidewall,passenger,0.19798,0.07448,0.01220,0.3444,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0088.obj
frag_0089,sidewall,otr_mining,0.16885,0.07539,0.01226,0.3976,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0089.obj
frag_0090,tread,otr_mining,0.16933,0.14633,0.06198,0.5927,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0090.obj
frag_0091,sidewall,passenger,0.19066,0.07496,0.01027,0.1397,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0091.obj
frag_0092,sidewall,motorcycle,0.12231,0.05440,0.01069,0.2432,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0092.obj
frag_0093,tread,passenger,0.18768,0.13203,0.03047,0.6938,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0093.obj
frag_0094,tread,otr_mining,0.23137,0.18124,0.03286,0.6665,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0094.obj
frag_0095,tread,motorcycle,0.19552,0.13610,0.04769,0.6530,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0095.obj
frag_0096,sidewall,truck_hgv,0.16775,0.07628,0.01176,0.2567,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0096.obj
frag_0097,tread,passenger,0.19829,0.15247,0.05742,0.5010,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0097.obj
frag_0098,sidewall,motorcycle,0.14782,0.08805,0.01170,0.1942,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0098.obj
frag_0099,tread,truck_hgv,0.16963,0.15228,0.05668,0.5022,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0099.obj
frag_0100,tread,passenger,0.17282,0.18467,0.04823,0.3693,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0100.obj
frag_0101,sidewall,otr_mining,0.14298,0.08701,0.00895,0.4043,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0101.obj
frag_0102,sidewall,otr_mining,0.23397,0.07630,0.01285,0.4700,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0102.obj
frag_0103,sidewall,otr_mining,0.20158,0.06724,0.00925,0.0886,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0103.obj
frag_0104,sidewall,otr_mining,0.22531,0.05627,0.01751,0.2284,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0104.obj
frag_0105,tread,passenger,0.12084,0.15142,0.03568,0.5044,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0105.obj
frag_0106,tread,otr_mining,0.12980,0.12394,0.06629,0.4479,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0106.obj
frag_0107,sidewall,motorcycle,0.21131,0.06692,0.01309,0.4732,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0107.obj
frag_0108,tread,motorcycle,0.14044,0.21845,0.03437,0.6655,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0108.obj
frag_0109,tread,passenger,0.20319,0.13769,0.03768,0.6232,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0109.obj
frag_0110,sidewall,motorcycle,0.18757,0.08140,0.00859,0.3106,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0110.obj
frag_0111,tread,otr_mining,0.17726,0.16487,0.06631,0.3985,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0111.obj
frag_0112,sidewall,truck_hgv,0.16518,0.05591,0.01041,0.0743,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0112.obj
frag_0113,sidewall,passenger,0.13589,0.08838,0.01200,0.2260,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0113.obj
frag_0114,sidewall,passenger,0.14486,0.07222,0.01006,0.4849,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0114.obj
frag_0115,tread,otr_mining,0.21582,0.13052,0.03808,0.3738,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0115.obj
frag_0116,tread,truck_hgv,0.21261,0.15284,0.04520,0.6901,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0116.obj
frag_0117,sidewall,passenger,0.17522,0.08866,0.01584,0.1376,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0117.obj
frag_0118,sidewall,motorcycle,0.18097,0.07816,0.01333,0.4268,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0118.obj
frag_0119,tread,motorcycle,0.15640,0.12441,0.04699,0.4800,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0119.obj
frag_0120,sidewall,passenger,0.13864,0.07603,0.01715,0.3253,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0120.obj
frag_0121,tread,otr_mining,0.21813,0.12919,0.04205,0.7105,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0121.obj
frag_0122,sidewall,truck_hgv,0.21895,0.08745,0.01627,0.2939,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0122.obj
frag_0123,tread,passenger,0.19042,0.12899,0.05872,0.7862,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0123.obj
frag_0124,tread,otr_mining,0.20203,0.10604,0.06580,0.7739,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0124.obj
frag_0125,tread,truck_hgv,0.19044,0.11542,0.05528,0.8622,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0125.obj
frag_0126,tread,passenger,0.11810,0.21857,0.04101,0.4559,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0126.obj
frag_0127,sidewall,passenger,0.11250,0.05039,0.01377,0.3511,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0127.obj
frag_0128,sidewall,otr_mining,0.13152,0.05514,0.00913,0.2740,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0128.obj
frag_0129,tread,truck_hgv,0.20431,0.24075,0.04504,0.6241,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0129.obj
frag_0130,tread,otr_mining,0.21707,0.17237,0.05960,0.5080,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0130.obj
frag_0131,tread,motorcycle,0.15809,0.17056,0.03440,0.5281,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0131.obj
frag_0132,sidewall,otr_mining,0.16056,0.05000,0.01627,0.2329,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0132.obj
frag_0133,tread,truck_hgv,0.18555,0.14083,0.03384,0.5468,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0133.obj
frag_0134,sidewall,motorcycle,0.20801,0.07024,0.01249,0.3177,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0134.obj
frag_0135,sidewall,motorcycle,0.19111,0.08930,0.01474,0.4349,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0135.obj
frag_0136,sidewall,passenger,0.13779,0.07445,0.01441,0.4817,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0136.obj
frag_0137,tread,passenger,0.14364,0.14642,0.03934,0.6107,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0137.obj
frag_0138,sidewall,truck_hgv,0.16765,0.08950,0.01586,0.3193,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0138.obj
frag_0139,tread,passenger,0.11431,0.19434,0.04562,0.5628,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0139.obj
frag_0140,sidewall,truck_hgv,0.13859,0.07015,0.01185,0.1929,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0140.obj
frag_0141,tread,truck_hgv,0.19407,0.12794,0.05115,0.5338,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0141.obj
frag_0142,sidewall,otr_mining,0.16737,0.05924,0.01416,0.2534,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0142.obj
frag_0143,sidewall,otr_mining,0.11857,0.07062,0.01417,0.0801,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0143.obj
frag_0144,sidewall,motorcycle,0.19947,0.05460,0.01428,0.4634,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0144.obj
frag_0145,tread,motorcycle,0.13568,0.24409,0.03160,0.6183,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0145.obj
frag_0146,tread,passenger,0.19256,0.20742,0.05556,0.7607,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0146.obj
frag_0147,tread,motorcycle,0.21092,0.14139,0.03467,0.6630,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0147.obj
frag_0148,sidewall,otr_mining,0.15178,0.09437,0.01449,0.4921,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0148.obj
frag_0149,tread,otr_mining,0.14675,0.15673,0.05358,0.6308,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0149.obj
frag_0150,sidewall,passenger,0.12223,0.05311,0.00948,0.6137,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0150.obj
frag_0151,sidewall,otr_mining,0.16608,0.06865,0.00982,0.0670,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0151.obj
frag_0152,sidewall,motorcycle,0.21847,0.09858,0.01156,0.2940,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0152.obj
frag_0153,tread,motorcycle,0.22238,0.13918,0.04090,0.5195,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0153.obj
frag_0154,sidewall,truck_hgv,0.20231,0.06820,0.00789,0.1607,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0154.obj
frag_0155,tread,truck_hgv,0.12379,0.20516,0.04140,0.5945,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0155.obj
frag_0156,sidewall,passenger,0.21429,0.06265,0.01130,0.3068,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0156.obj
frag_0157,sidewall,passenger,0.11347,0.05345,0.01499,0.3759,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0157.obj
frag_0158,tread,truck_hgv,0.21749,0.18506,0.03762,0.5918,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0158.obj
frag_0159,sidewall,truck_hgv,0.11378,0.08728,0.01462,0.2798,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0159.obj
frag_0160,tread,motorcycle,0.16773,0.14168,0.03238,0.3621,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0160.obj
frag_0161,sidewall,motorcycle,0.19587,0.06828,0.01113,0.2429,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0161.obj
frag_0162,tread,truck_hgv,0.13361,0.15503,0.05516,0.6013,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0162.obj
frag_0163,tread,truck_hgv,0.23657,0.19275,0.05918,0.6489,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0163.obj
frag_0164,sidewall,passenger,0.18849,0.07566,0.01592,0.1194,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0164.obj
frag_0165,tread,motorcycle,0.17864,0.16720,0.06239,0.5407,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0165.obj
frag_0166,sidewall,motorcycle,0.16752,0.09401,0.01303,0.1749,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0166.obj
frag_0167,sidewall,motorcycle,0.15573,0.05218,0.00846,0.1809,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0167.obj
frag_0168,sidewall,otr_mining,0.15883,0.08954,0.01401,0.3796,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0168.obj
frag_0169,tread,passenger,0.13166,0.12415,0.05415,0.4840,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0169.obj
frag_0170,tread,motorcycle,0.13891,0.14846,0.05900,0.4706,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0170.obj
frag_0171,sidewall,truck_hgv,0.11759,0.06746,0.01129,0.2727,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0171.obj
frag_0172,tread,otr_mining,0.17082,0.13605,0.04832,0.7356,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0172.obj
frag_0173,tread,motorcycle,0.19331,0.15943,0.03769,0.7744,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0173.obj
frag_0174,sidewall,passenger,0.21126,0.08363,0.01796,0.3608,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0174.obj
frag_0175,tread,passenger,0.19834,0.19796,0.04938,0.6779,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0175.obj
frag_0176,tread,passenger,0.13188,0.13909,0.05803,0.3685,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0176.obj
frag_0177,tread,passenger,0.13236,0.18593,0.05033,0.6111,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0177.obj
frag_0178,sidewall,motorcycle,0.14178,0.09387,0.01071,0.3248,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0178.obj
frag_0179,tread,truck_hgv,0.20479,0.12899,0.05681,0.7434,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0179.obj
frag_0180,tread,motorcycle,0.14889,0.18294,0.05126,0.6712,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0180.obj
frag_0181,tread,truck_hgv,0.22437,0.16254,0.06234,0.5032,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0181.obj
frag_0182,tread,truck_hgv,0.16862,0.19813,0.03501,0.5867,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0182.obj
frag_0183,sidewall,motorcycle,0.12169,0.07595,0.01296,0.5208,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0183.obj
frag_0184,tread,motorcycle,0.20192,0.18124,0.04275,0.3232,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0184.obj
frag_0185,tread,otr_mining,0.12228,0.19168,0.04198,0.4871,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0185.obj
frag_0186,tread,passenger,0.13951,0.13388,0.03512,0.5224,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0186.obj
frag_0187,sidewall,truck_hgv,0.20773,0.07741,0.01652,0.2416,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0187.obj
frag_0188,tread,truck_hgv,0.21617,0.17893,0.05443,0.4582,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0188.obj
frag_0189,tread,motorcycle,0.14382,0.21564,0.03447,0.5598,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0189.obj
frag_0190,sidewall,truck_hgv,0.18471,0.08838,0.01148,0.5127,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0190.obj
frag_0191,tread,passenger,0.13510,0.16340,0.04456,0.6623,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0191.obj
frag_0192,tread,passenger,0.19103,0.17982,0.04216,0.5998,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0192.obj
frag_0193,sidewall,truck_hgv,0.11602,0.05704,0.00954,0.3699,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0193.obj
